# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
100000 2000
738 5.53125 0.965381 19.0998
739 5.53875 0.976345 19.1846
740 5.54625 0.969716 19.2691
741 5.55375 0.987399 19.3553
742 5.56125 0.979476 19.4411
743 5.56875 0.985334 19.5277
744 5.57625 0.983484 19.6143
745 5.58375 0.99637 19.7023
746 5.59125 1.00213 19.791
747 5.59875 1.00028 19.8798
748 5.60625 0.999096 19.9687
749 5.61375 1.01477 20.0593
750 5.62125 1.00516 20.1493
751 5.62875 1.01137 20.24
752 5.63625 1.01367 20.3312
753 5.64375 1.01349 20.4227
754 5.65125 1.03801 20.5166
755 5.65875 1.02871 20.6099
756 5.66625 1.04755 20.7051
757 5.67375 1.03887 20.7998
758 5.68125 1.03861 20.8948
759 5.68875 1.0447 20.9905
760 5.69625 1.0561 21.0876
761 5.70375 1.04095 21.1835
762 5.71125 1.06126 21.2815
763 5.71875 1.0718 21.3808
764 5.72625 1.07707 21.4808
765 5.73375 1.06893 21.5804
766 5.74125 1.08053 21.6812
767 5.74875 1.08047 21.7824
768 5.75625 1.08798 21.8845
769 5.76375 1.08303 21.9864
770 5.77125 1.09529 22.0897
771 5.77875 1.10393 22.1941
772 5.78625 1.08739 22.2972
773 5.79375 1.10139 22.4019
774 5.80125 1.10993 22.5077
775 5.80875 1.09546 22.6124
776 5.81625 1.11192 22.719
777 5.82375 1.12219 22.8268
778 5.83125 1.12685 22.9353
779 5.83875 1.12267 23.0437
780 5.84625 1.12285 23.1524
781 5.85375 1.11595 23.2607
782 5.86125 1.13494 23.3711
783 5.86875 1.13252 23.4816
784 5.87625 1.12632 23.5917
785 5.88375 1.13647 23.7032
786 5.89125 1.14308 23.8155
787 5.89875 1.15924 23.9298
788 5.90625 1.13669 24.0421
789 5.91375 1.14016 24.155
790 5.92125 1.15332 24.2695
791 5.92875 1.15641 24.3847
792 5.93625 1.15587 24.5
793 5.94375 1.15542 24.6156
794 5.95125 1.1492 24.7309
795 5.95875 1.16821 24.8484
796 5.96625 1.15129 24.9645
797 5.97375 1.18288 25.084
798 5.98125 1.16507 25.2021
799 5.98875 1.17692 25.3216
800 5.99625 1.18698 25.4425
801 6.00375 1.18827 25.5638
802 6.01125 1.17004 25.6836
803 6.01875 1.18372 25.805
804 6.02625 1.17876 25.9262
805 6.03375 1.18216 26.0481
806 6.04125 1.17757 26.1699
807 6.04875 1.18682 26.2928
808 6.05625 1.18904 26.4164
809 6.06375 1.19157 26.5405
810 6.07125 1.19331 26.665
811 6.07875 1.18443 26.789
812 6.08625 1.19652 26.9145
813 6.09375 1.19985 27.0407
814 6.10125 1.19261 27.1665
815 6.10875 1.19186 27.2924
816 6.11625 1.20203 27.4198
817 6.12375 1.19787 27.547
818 6.13125 1.2003 27.6748
819 6.13875 1.20491 27.8034
820 6.14625 1.20737 27.9326
821 6.15375 1.19893 28.0612
822 6.16125 1.20252 28.1905
823 6.16875 1.19521 28.3193
824 6.17625 1.20558 28.4495
825 6.18375 1.20504 28.58
826 6.19125 1.19427 28.7097
827 6.19875 1.19515 28.8398
828 6.20625 1.21612 28.9724
829 6.21375 1.19968 29.1036
830 6.22125 1.20719 29.2359
831 6.22875 1.20059 29.3679
832 6.23625 1.20856 29.501
833 6.24375 1.20215 29.6337
834 6.25125 1.21268 29.7679
835 6.25875 1.21052 29.9022
836 6.26625 1.20502 30.0363
837 6.27375 1.2019 30.1702
838 6.28125 1.20438 30.3048
839 6.28875 1.19401 30.4386
840 6.29625 1.19071 30.5723
841 6.30375 1.19583 30.7068
842 6.31125 1.20431 30.8427
843 6.31875 1.20308 30.9788
844 6.32625 1.20036 31.1148
845 6.33375 1.19353 31.2504
846 6.34125 1.19771 31.3868
847 6.34875 1.18622 31.5223
848 6.35625 1.19708 31.6592
849 6.36375 1.19195 31.7959
